Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.84766,160.93510,308.89500,455.32049
6660.78516,8030.50342,8192.73040,8192.73040
0.01875,0.01723,0.02591,0.03752
0.34172,0.35169,0.51840,0.70822
0.01863,0.01321,0.01581,0.30029
3.76679,3.41781,6.50779,9.59268
0.02128,0.01943,0.02922,0.04298
50.57329,51.47009,64.78026,74.06928
0.05993,0.02354,0.14972,0.41770
0.02557,0.01837,0.04281,0.11047
