Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2234.87500,1657.39434,5458.89883,7079.81074
436.21094,407.89162,843.02933,991.28472
2671.08594,2111.17945,5984.94482,7746.54708
0.01277,0.01284,0.01405,0.01559
0.12148,0.08919,0.23340,0.29083
0.01286,0.01188,0.01261,0.05563
5.71998,5.37092,10.92442,13.28985
0.01342,0.01329,0.01471,0.02038
75.54641,75.26393,85.54144,92.29602
0.00014,0.00000,0.00000,0.00209
0.01139,0.01212,0.01269,0.01383
