,cdf,Number of Total Tokens
0,0.0,536.4651462992648
1,0.01,1517.7768456793412
2,0.02,1861.2470697800413
3,0.03,2065.2406669332795
4,0.04,2223.8652599966845
5,0.05,2497.391603722689
6,0.06,2620.1900274026284
7,0.07,2810.1753064008226
8,0.08,3007.9142268945816
9,0.09,3193.9133188687024
10,0.1,3278.044053439395
11,0.11,3357.6688124182656
12,0.12,3536.886939701134
13,0.13,3688.599913020428
14,0.14,3808.544020885019
15,0.15,3924.531493327864
16,0.16,3948.1494732463293
17,0.17,4060.259917633029
18,0.18,4084.6947163756145
19,0.19,4380.868603459043
20,0.2,4550.545103189988
21,0.21,4726.793385178501
22,0.22,4831.935193908916
23,0.23,4870.745723526165
24,0.24,5171.935921608377
25,0.25,5308.169665231578
26,0.26,5502.745183661061
27,0.27,5625.147102773261
28,0.28,5866.434937773228
29,0.29,5889.947679495023
30,0.3,5937.25625870512
31,0.31,6057.19683159454
32,0.32,6229.195139442144
33,0.33,6254.161828411162
34,0.34,6367.756060245099
35,0.35000000000000003,6470.459628992682
36,0.36,6535.488851160401
37,0.37,6748.006716528334
38,0.38,6788.616477818716
39,0.39,6925.755673770099
40,0.4,7079.810742190998
41,0.41000000000000003,7136.6764064575
42,0.42,7280.84688174428
43,0.43,7368.743397965373
44,0.44,7427.929794804708
45,0.45,7623.588576865144
46,0.46,7684.821912656792
47,0.47000000000000003,7746.547080001839
48,0.48,7840.065665426578
49,0.49,7966.515660595473
50,0.5,8030.503416967201
51,0.51,8192.730401697612
52,0.52,8192.730401697612
53,0.53,8192.730401697612
54,0.54,8192.730401697612
55,0.55,8192.730401697612
56,0.56,8192.730401697612
57,0.5700000000000001,8192.730401697612
58,0.58,8192.730401697612
59,0.59,8192.730401697612
60,0.6,8192.730401697612
61,0.61,8192.730401697612
62,0.62,8192.730401697612
63,0.63,8192.730401697612
64,0.64,8192.730401697612
65,0.65,8192.730401697612
66,0.66,8192.730401697612
67,0.67,8192.730401697612
68,0.68,8192.730401697612
69,0.6900000000000001,8192.730401697612
70,0.7000000000000001,8192.730401697612
71,0.71,8192.730401697612
72,0.72,8192.730401697612
73,0.73,8192.730401697612
74,0.74,8192.730401697612
75,0.75,8192.730401697612
76,0.76,8192.730401697612
77,0.77,8192.730401697612
78,0.78,8192.730401697612
79,0.79,8192.730401697612
80,0.8,8192.730401697612
81,0.81,8192.730401697612
82,0.8200000000000001,8192.730401697612
83,0.8300000000000001,8192.730401697612
84,0.84,8192.730401697612
85,0.85,8192.730401697612
86,0.86,8192.730401697612
87,0.87,8192.730401697612
88,0.88,8192.730401697612
89,0.89,8192.730401697612
90,0.9,8192.730401697612
91,0.91,8192.730401697612
92,0.92,8192.730401697612
93,0.93,8192.730401697612
94,0.9400000000000001,8192.730401697612
95,0.9500000000000001,8192.730401697612
96,0.96,8192.730401697612
97,0.97,8192.730401697612
98,0.98,8192.730401697612
99,0.99,8192.730401697612
100,1.0,8192.730401697612
