Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2234.87500,1657.39434,5458.89883,7079.81074
432.85938,406.26331,836.31199,991.28472
2667.73438,2111.17945,5984.94482,7746.54708
0.02471,0.02480,0.02654,0.02824
0.16155,0.12938,0.29258,0.35523
0.02490,0.02235,0.02308,0.08316
10.91628,10.24716,20.71795,25.15359
0.02555,0.02525,0.02730,0.03275
39.36151,39.60680,41.97192,44.03570
0.00265,0.00000,0.00513,0.04788
19531250.02243,0.02294,0.02436,0.02607
