Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6537.70117,7840.06567,8095.00513,8160.02492
184.30469,170.88678,308.27783,434.85017
6722.00586,8078.83129,8192.73040,8192.73040
0.00715,0.00660,0.00938,0.01411
0.19671,0.21502,0.24147,0.39812
0.00709,0.00574,0.00652,0.03255
1.49649,1.34044,2.44734,3.66563
0.00865,0.00780,0.01153,0.01955
124.29353,128.12433,157.74837,176.44359
0.00451,0.00000,0.00725,0.08973
0.00714,0.00615,0.01012,0.02802
