Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6548.60870,7871.48874,8095.00513,8160.02492
184.39614,171.91518,313.87707,455.32049
6733.00483,8192.73040,8192.73040,8192.73040
0.01671,0.01516,0.02317,0.03905
0.38890,0.34680,0.47759,3.20592
0.01647,0.01160,0.01434,0.25385
3.40912,2.92999,5.91209,9.80606
0.01965,0.01737,0.02644,0.05848
57.36709,57.56996,77.24645,93.41024
0.05488,0.01659,0.14529,0.54498
0.02738,0.01610,0.03999,0.20536
