,cdf,Number of Output Tokens
0,0.0,4.002823400834266
1,0.01,10.990159692286051
2,0.02,21.010042023055906
3,0.03,26.977430211401757
4,0.04,30.969431716511867
5,0.05,37.9777595100358
6,0.06,46.01653444375361
7,0.07,54.98172381112103
8,0.08,62.99156830465424
9,0.09,73.03953941466173
10,0.1,82.02310443674119
11,0.11,94.91682840557759
12,0.12,100.98793339163191
13,0.13,108.96220333143697
14,0.14,123.10050115880195
15,0.15,133.08674455668097
16,0.16,141.88276977462596
17,0.17,151.86639807994746
18,0.18,159.01542175195067
19,0.19,170.88677687557998
20,0.2,180.00798859717014
21,0.21,189.99566364914423
22,0.22,196.96011789333122
23,0.23,202.14823596203493
24,0.24,213.7915101156673
25,0.25,223.8556229544114
26,0.26,232.0612430902949
27,0.27,239.1285624885707
28,0.28,249.8851320153791
29,0.29,254.93314823440798
30,0.3,258.010775873476
31,0.31,270.15648531066404
32,0.32,277.27266577302964
33,0.33,282.87394706026333
34,0.34,289.7450474752937
35,0.35000000000000003,302.1735144877931
36,0.36,308.2778264562278
37,0.37,317.031589289365
38,0.38,320.858887498374
39,0.39,333.2861520128365
40,0.4,337.9849747190215
41,0.41000000000000003,348.27815309016415
42,0.42,351.7784078930813
43,0.43,358.1677529590902
44,0.44,361.76739992638227
45,0.45,364.67314758771215
46,0.46,380.3156174923088
47,0.47000000000000003,383.3703460729392
48,0.48,387.99850518541456
49,0.49,398.2187572695074
50,0.5,402.22092365685313
51,0.51,407.89162073672736
52,0.52,415.3001491055654
53,0.53,421.15524317027206
54,0.54,425.3879251504675
55,0.55,432.24887547609933
56,0.56,435.7207365649722
57,0.5700000000000001,440.9808849256495
58,0.58,450.78997199131373
59,0.59,457.1454180346637
60,0.6,470.12637944772524
61,0.61,479.6235654919891
62,0.62,489.3126074854236
63,0.63,502.20157001901896
64,0.64,513.372437267971
65,0.65,517.4958899596346
66,0.66,523.7432519252098
67,0.67,533.2559914437788
68,0.68,536.4651462992648
69,0.6900000000000001,540.7740816664676
70,0.7000000000000001,549.4960596360836
71,0.71,560.5966201174675
72,0.72,570.7787267175335
73,0.73,589.3390332779063
74,0.74,597.6478082284509
75,0.75,612.1648683742749
76,0.76,624.531423196283
77,0.77,632.0709494713368
78,0.78,638.4233702506511
79,0.79,648.7203034051668
80,0.8,667.1411666450856
81,0.81,680.6183167357875
82,0.8200000000000001,694.3677234097261
83,0.8300000000000001,709.8130945977807
84,0.84,725.602029409393
85,0.85,738.7811263706313
86,0.86,752.1995950393272
87,0.87,784.4648155675877
88,0.88,800.3120613813115
89,0.89,813.2200471832107
90,0.9,824.6852004749147
91,0.91,851.5019149391031
92,0.92,868.7034004475807
93,0.93,882.7144490124185
94,0.9400000000000001,891.5858796845566
95,0.9500000000000001,902.3493655824246
96,0.96,939.1749543061944
97,0.97,954.3226167752057
98,0.98,965.8434789397239
99,0.99,977.5034243269172
100,1.0,1015.3633499553291
