,cdf,Output Throughput
0,0.0,29.99409814075676
1,0.01,58.73294762300674
2,0.02,66.61973797750802
3,0.03,71.8802057988621
4,0.04,73.03953941466173
5,0.05,75.11354782722691
6,0.06,76.63094265837398
7,0.07,78.17899090878018
8,0.08,78.80693145854929
9,0.09,79.12279058678082
10,0.1,80.07798409094674
11,0.11,80.72117752143166
12,0.12,81.04470897088486
13,0.13,81.53243911452779
14,0.14,81.69566722086319
15,0.15,82.02310443674119
16,0.16,82.35185402491493
17,0.17,82.5167226015414
18,0.18,82.84745061725091
19,0.19,83.51288864712096
20,0.2,83.84760930831112
21,0.21,84.18367153393339
22,0.22,84.5210807009941
23,0.23,84.69029207376887
24,0.24,85.02973178204074
25,0.25,85.1999614752981
26,0.26,85.37053196874214
27,0.27,85.54144394465554
28,0.28,85.54144394465554
29,0.29,85.7126980866869
30,0.3,85.88429507985344
31,0.31,86.05623561054385
32,0.32,86.22852036652087
33,0.33,86.22852036652087
34,0.34,86.40115003692432
35,0.35000000000000003,86.74744688447028
36,0.36,86.92111544680155
37,0.37,87.26949632195821
38,0.38,87.61927351184859
39,0.39,87.7946874728333
40,0.4,87.97045261291906
41,0.41000000000000003,88.32303924404637
42,0.42,88.49986214543587
43,0.43,88.67703904662787
44,0.44,89.03245768467185
45,0.45,89.03245768467185
46,0.46,89.38930084488781
47,0.47000000000000003,89.56825840413686
48,0.48,89.74757423677778
49,0.49,90.10728359272738
50,0.5,90.10728359272738
51,0.51,90.46843466809798
52,0.52,90.64955265542152
53,0.53,90.64955265542152
54,0.54,91.0128771517113
55,0.55,91.19508511397694
56,0.56,91.37765785694788
57,0.5700000000000001,91.56059611091575
58,0.58,91.7439006076343
59,0.59,91.7439006076343
60,0.6,91.92757208032228
61,0.61,92.29601889382377
62,0.62,92.48079570842596
63,0.63,92.85145984887643
64,0.64,93.41024346874016
65,0.65,93.78463284698218
66,0.66,94.16052278235092
67,0.67,94.53791928909735
68,0.68,94.91682840557759
69,0.6900000000000001,95.29725619434961
70,0.7000000000000001,95.67920874227033
71,0.71,96.06269216059265
72,0.72,96.4477125850635
73,0.73,96.6408010987473
74,0.74,97.02813859078891
75,0.75,97.61205762231134
76,0.76,97.80747715709069
77,0.77,98.3960862777715
78,0.78,98.98823767054662
79,0.79,99.18641232053767
80,0.8,99.78331992552278
81,0.81,100.18325267078266
82,0.8200000000000001,100.78615929894134
83,0.8300000000000001,101.39269424213863
84,0.84,101.79907737899778
85,0.85,102.20708930435251
86,0.86,103.02802565952958
87,0.87,103.23428797316228
88,0.88,103.44096322435975
89,0.89,104.06347487863825
90,0.9,104.89932188646694
91,0.91,105.31975962906027
92,0.92,105.7418824911779
93,0.93,106.59121061697326
94,0.9400000000000001,107.23268057997814
95,0.9500000000000001,107.87801093363858
96,0.96,108.31038729772496
97,0.97,111.38593591459616
98,0.98,111.83237208415753
99,0.99,114.54881686893505
100,1.0,118.7477021407729
