Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.05662,0.05356,0.08022,0.11384
0.65713,0.57984,1.06290,1.82394
0.05558,0.03152,0.03612,0.54064
10.87582,10.02418,19.20173,28.19094
0.06120,0.05676,0.08621,0.11872
17.75987,17.61940,24.16730,29.28281
0.78082,0.90393,0.97922,0.98906
0.08643,0.06039,0.14734,0.31068
