Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6537.70117,7840.06567,8095.00513,8160.02492
184.30469,170.88678,308.27783,434.85017
6722.00586,8078.83129,8192.73040,8192.73040
0.00715,0.00661,0.00940,0.01419
0.19482,0.21502,0.23764,0.36972
0.00710,0.00575,0.00653,0.03261
1.49570,1.33509,2.47193,3.67297
0.00863,0.00784,0.01144,0.01920
124.21101,127.61286,157.11864,176.44359
0.00344,0.00000,0.00725,0.05475
0.00688,0.00615,0.00984,0.02092
