Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85156,160.93510,308.89500,455.32049
6660.78906,8030.50342,8192.73040,8192.73040
0.02095,0.01970,0.02875,0.04247
0.35958,0.36240,0.55599,0.87023
0.02072,0.01477,0.01703,0.29025
4.17004,3.83052,6.99363,10.30882
0.02360,0.02164,0.03203,0.05034
45.49050,46.01653,57.11123,69.47736
0.07003,0.03367,0.17711,0.41770
0.02873,0.02092,0.04619,0.11754
