Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.01817,0.01669,0.02540,0.03670
0.33634,0.34819,0.50409,0.67773
0.01804,0.01277,0.01513,0.29671
3.65297,3.34344,6.31546,9.36520
0.02065,0.01878,0.02852,0.04154
52.13211,52.93162,66.48663,75.56558
0.05735,0.02298,0.14972,0.38946
0.02422,0.01779,0.04255,0.07585
