Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2274.93750,1738.88953,5458.89883,6884.32554
450.99609,427.94793,868.70340,1001.24730
2725.93359,2268.79033,6020.96245,7413.08878
0.03199,0.03210,0.03449,0.03804
0.22404,0.17817,0.42784,0.52782
0.03221,0.02757,0.02875,0.15274
14.71986,13.74947,27.85467,31.78520
0.03312,0.03268,0.03554,0.04238
30.45944,30.53888,33.21497,35.48112
0.08299,0.08200,0.15428,0.23062
39062500.02945,0.02945,0.03203,0.04113
