Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.05442,0.05095,0.07769,0.11025
0.66413,0.57637,1.05866,1.83859
0.05339,0.03023,0.03677,0.51840
10.48054,9.66973,18.26525,25.66172
0.05905,0.05475,0.08283,0.11707
18.40932,18.19234,25.00312,30.29554
0.66987,0.72833,0.97142,0.99302
0.08495,0.05931,0.14675,0.36458
