Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2274.93750,1738.88953,5458.89883,6884.32554
449.25391,423.68977,868.70340,1001.24730
2724.19141,2268.79033,6020.96245,7413.08878
0.01312,0.01289,0.01525,0.01699
0.12983,0.10321,0.25082,0.30697
0.01316,0.01164,0.01386,0.04684
6.02697,5.59012,11.41582,13.91546
0.01380,0.01342,0.01578,0.02071
74.06773,74.51504,84.85984,91.74390
0.00008,0.00000,0.00000,0.00313
0.01195,0.01212,0.01439,0.01553
