Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
683.05664,436.59305,1644.18807,4670.41082
219.11719,159.97238,513.37244,722.70542
902.17383,650.01904,2016.26493,5255.35248
0.02140,0.02164,0.02349,0.02510
0.11708,0.09604,0.14646,0.42443
0.02210,0.02051,0.02257,0.07600
4.93778,3.55019,11.07843,16.23226
0.02405,0.02262,0.02628,0.04064
42.76202,44.21220,46.75872,47.79881
0.00476,0.00000,0.00000,0.08777
0.01802,0.02034,0.02208,0.02774
