Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.02935,0.02576,0.04591,0.06285
0.55702,0.51427,0.88781,1.46375
0.02870,0.01669,0.02010,0.43649
5.83275,5.47942,9.66973,14.11165
0.03341,0.02957,0.05166,0.07016
33.63782,33.75068,45.64987,58.61560
0.18681,0.13904,0.45612,0.63191
0.05671,0.03569,0.10872,0.27555
