config,batch_size,output_throughput
llm42,2,93.17
llm42,4,171.68
llm42,8,285.02
llm42,16,593.34
llm42,32,1092.00
llm42,64,1532.67
llm42,128,2149.66
llm42,256,2655.63
llm42,512,3016.10
global_det,2,53.69
global_det,4,100.05
global_det,8,180.16
global_det,16,348.32
global_det,32,661.01
global_det,64,1162.94
global_det,128,2193.58
global_det,256,2972.81
global_det,512,3376.26
