,cdf,Number of Output Tokens
0,0.0,8.997981121446852
1,0.01,13.999202723426244
2,0.02,22.988648370853415
3,0.03,28.991440241586453
4,0.04,30.969431716511867
5,0.05,37.9777595100358
6,0.06,46.01653444375361
7,0.07,58.03236392716473
8,0.08,62.99156830465424
9,0.09,70.03540615115575
10,0.1,76.02034057843467
11,0.11,86.05623561054385
12,0.12,98.00328792216996
13,0.13,103.02802565952958
14,0.14,108.96220333143697
15,0.15,130.9743005569187
16,0.16,148.8592409254445
17,0.17,154.93430385909508
18,0.18,159.01542175195067
19,0.19,168.8483896575149
20,0.2,186.97992229193082
21,0.21,193.0600449663177
22,0.22,198.93960065020914
23,0.23,204.99821552289328
24,0.24,230.21215872843447
25,0.25,232.0612430902949
26,0.26,239.1285624885707
27,0.27,249.8851320153791
28,0.28,256.9807937641828
29,0.29,259.0448861634396
30,0.3,277.27266577302964
31,0.31,281.7447108736317
32,0.32,296.1900760347728
33,0.33,302.1735144877931
34,0.34,308.2778264562278
35,0.35000000000000003,317.031589289365
36,0.36,318.3022557086943
37,0.37,322.78982849718653
38,0.38,333.2861520128365
39,0.39,338.66162131505564
40,0.4,353.1883399788932
41,0.41000000000000003,358.8848055175669
42,0.42,363.94452991021416
43,0.43,371.29669958512085
44,0.44,384.9068990265854
45,0.45,391.89795629726297
46,0.46,399.81482283364824
47,0.47000000000000003,403.02617075126125
48,0.48,410.3463280371647
49,0.49,421.15524317027206
50,0.5,423.6897714554094
51,0.51,429.6631463060288
52,0.52,434.8501656627444
53,0.53,439.2204839483025
54,0.54,450.78997199131373
55,0.55,457.1454180346637
56,0.56,470.12637944772524
57,0.5700000000000001,481.5459025056475
58,0.58,495.2197326096817
59,0.59,502.20157001901896
60,0.6,513.372437267971
61,0.61,517.4958899596346
62,0.62,523.7432519252098
63,0.63,523.7432519252098
64,0.64,531.1272271353848
65,0.65,536.4651462992648
66,0.66,540.7740816664676
67,0.67,547.3024647808446
68,0.68,566.2307117039051
69,0.6900000000000001,569.6383096811354
70,0.7000000000000001,576.515150210852
71,0.71,589.3390332779063
72,0.72,613.3904236663155
73,0.73,624.531423196283
74,0.74,632.0709494713368
75,0.75,648.7203034051668
76,0.76,668.4767845963271
77,0.77,681.9809159684918
78,0.78,683.346243127588
79,0.79,694.3677234097261
80,0.8,709.8130945977807
81,0.81,721.2614505444045
82,0.8200000000000001,737.3050402040566
83,0.8300000000000001,743.2271393116478
84,0.84,772.0132525047875
85,0.85,784.4648155675877
86,0.86,800.3120613813115
87,0.87,808.3553340121885
88,0.88,826.336221897287
89,0.89,846.4081981829768
90,0.9,868.7034004475807
91,0.91,882.7144490124185
92,0.92,882.7144490124185
93,0.93,898.7471761012466
94,0.9400000000000001,900.5464697470951
95,0.9500000000000001,944.826944931938
96,0.96,952.4158782801503
97,0.97,963.9137217390451
98,0.98,969.7145912089079
99,0.99,1001.2473012529721
100,1.0,1015.3633499553291
