Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2274.93750,1738.88953,5458.89883,6884.32554
449.28516,423.68977,868.70340,1001.24730
2724.22266,2268.79033,6020.96245,7413.08878
0.01471,0.01457,0.01656,0.01863
0.15454,0.12112,0.32791,0.40535
0.01481,0.01323,0.01434,0.04546
6.79479,6.46886,12.97469,15.22594
0.01552,0.01519,0.01709,0.02335
65.75841,65.82508,74.66422,81.53244
0.00237,0.00000,0.00398,0.02271
39062500.01326,0.01355,0.01553,0.01751
