Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.01648,0.01504,0.02326,0.03288
0.33388,0.34542,0.49808,0.68866
0.01635,0.01167,0.01419,0.23575
3.33957,2.93586,5.76036,8.89065
0.01896,0.01734,0.02566,0.04088
57.79257,56.88325,76.93808,92.11161
0.05412,0.01924,0.14471,0.41107
0.02287,0.01639,0.04024,0.08168
