,cdf,Output Throughput
0,0.0,14.924443930554403
1,0.01,24.312741723088106
2,0.02,26.549225954329337
3,0.03,27.966311087546437
4,0.04,28.645621903256057
5,0.05,29.107638282436444
6,0.06,30.174603765126243
7,0.07,34.08988375956996
8,0.08,36.19788516735264
9,0.09,36.34296672605789
10,0.1,38.5902910514165
11,0.11,39.845151470422216
12,0.12,40.24560203434602
13,0.13,41.305709721798415
14,0.14,41.55428905525158
15,0.15,41.88805676971418
16,0.16,42.14014068986939
17,0.17,42.563656286631854
18,0.18,42.734251932474436
19,0.19,43.250152339279715
20,0.2,43.59754137720183
21,0.21,43.94772067451362
22,0.22,44.745942355985854
23,0.23,45.28612847883683
24,0.24,46.01653444375361
25,0.25,46.38614330671266
26,0.26,47.60799873003938
27,0.27,48.279198370581696
28,0.28,48.66698114975067
29,0.29,48.8620389949823
30,0.3,49.55091867664183
31,0.31,49.849117991448196
32,0.32,50.24951050346689
33,0.33,50.45091114536392
34,0.34,51.16219148331339
35,0.35000000000000003,51.779836445041
36,0.36,52.19573665795356
37,0.37,52.614977418055496
38,0.38,53.03758555691637
39,0.39,53.7853340300857
40,0.4,54.21734257647094
41,0.41000000000000003,54.434646336994085
42,0.42,54.98172381112103
43,0.43,54.98172381112103
44,0.44,55.09179733226441
45,0.45,55.09179733226441
46,0.46,55.64547928590583
47,0.47000000000000003,55.75688164683858
48,0.48,56.09242868303638
49,0.49,56.317247811205746
50,0.5,56.88324575103979
51,0.51,57.80069803490647
52,0.52,58.26495833910286
53,0.53,58.38160490234428
54,0.54,59.204695838112
55,0.55,59.7997131227849
56,0.56,60.280029692464964
57,0.5700000000000001,61.497767479090754
58,0.58,61.74425127010534
59,0.59,62.36479151973954
60,0.6,63.37065396055514
61,0.61,63.75202096836352
62,0.62,64.13568305734209
63,0.63,64.26408282322265
64,0.64,64.90994780947346
65,0.65,65.17010766025308
66,0.66,65.43131023484067
67,0.67,65.43131023484067
68,0.68,65.82507835054889
69,0.6900000000000001,66.08890605553337
70,0.7000000000000001,66.48663160792259
71,0.71,67.0206580966104
72,0.72,67.1548335882953
73,0.73,67.96554640998895
74,0.74,68.3745656554677
75,0.75,68.92375619692676
76,0.76,69.20000343995328
77,0.77,69.61645169482934
78,0.78,69.75582397049466
79,0.79,70.31610890055644
80,0.8,70.88089408858933
81,0.81,71.45021568106228
82,0.8200000000000001,72.16830252741794
83,0.8300000000000001,72.45755395112361
84,0.84,73.33228276628029
85,0.85,73.62619943676972
86,0.86,74.51503648254217
87,0.87,74.81369364413838
88,0.88,75.56558401733116
89,0.89,76.02034057843467
90,0.9,76.93808039734769
91,0.91,77.86689944017377
92,0.92,78.80693145854929
93,0.93,80.88278148043352
94,0.9400000000000001,81.20696064049625
95,0.9500000000000001,82.02310443674119
96,0.96,82.5167226015414
97,0.97,85.54144394465554
98,0.98,88.49986214543587
99,0.99,92.11161126366626
100,1.0,99.38498371657478
