,cdf,Output Throughput
0,0.0,14.95432269718214
1,0.01,23.974734795552237
2,0.02,26.60237755784151
3,0.03,28.07840039842908
4,0.04,28.70297049565497
5,0.05,29.107638282436444
6,0.06,30.235013382273646
7,0.07,34.158131775104636
8,0.08,36.19788516735264
9,0.09,36.41572541820215
10,0.1,38.5902910514165
11,0.11,39.765540778173616
12,0.12,40.24560203434602
13,0.13,41.388403835355575
14,0.14,41.55428905525158
15,0.15,41.804364348595875
16,0.16,42.22450533589516
17,0.17,42.734251932474436
18,0.18,42.819805990397306
19,0.19,43.163738448491934
20,0.2,43.68482374232135
21,0.21,43.94772067451362
22,0.22,44.56731601786451
23,0.23,45.19564670365433
24,0.24,45.8328358867911
25,0.25,46.38614330671266
26,0.26,47.41794702857384
27,0.27,48.279198370581696
28,0.28,48.76441254344387
29,0.29,49.05787863440143
30,0.3,49.55091867664183
31,0.31,49.94891602546512
32,0.32,50.149111881082334
33,0.33,50.6531190034537
34,0.34,51.2646182930898
35,0.35000000000000003,51.88349978126731
36,0.36,52.30023262723876
37,0.37,52.614977418055496
38,0.38,53.14376690938267
39,0.39,53.7853340300857
40,0.4,54.32588580485227
41,0.41000000000000003,54.54362460793902
42,0.42,54.76223611076494
43,0.43,54.98172381112103
44,0.44,55.202091220817465
45,0.45,55.31260591795624
46,0.46,55.86850703552094
47,0.47000000000000003,55.86850703552094
48,0.48,55.98035589845489
49,0.49,56.20472583755698
50,0.5,57.111234483520185
51,0.51,58.03236392716473
52,0.52,58.14854483592783
53,0.53,58.73294762300674
54,0.54,59.32322375770783
55,0.55,59.7997131227849
56,0.56,60.280029692464964
57,0.5700000000000001,61.252267654323745
58,0.58,61.867863384760206
59,0.59,62.115830524611816
60,0.6,63.24403926732725
61,0.61,63.62464430309206
62,0.62,64.13568305734209
63,0.63,64.26408282322265
64,0.64,65.03989765493789
65,0.65,65.30057834625956
66,0.66,65.43131023484067
67,0.67,65.56230384892444
68,0.68,65.82507835054889
69,0.6900000000000001,66.08890605553337
70,0.7000000000000001,66.61973797750802
71,0.71,66.88675068782601
72,0.72,66.88675068782601
73,0.73,67.96554640998895
74,0.74,68.3745656554677
75,0.75,69.0617416948185
76,0.76,69.33854198537861
77,0.77,69.75582397049466
78,0.78,69.89547526973487
79,0.79,70.31610890055644
80,0.8,70.88089408858933
81,0.81,71.16498556380265
82,0.8200000000000001,72.31278361355892
83,0.8300000000000001,73.03953941466173
84,0.84,73.47909414318976
85,0.85,74.36615529076886
86,0.86,74.81369364413838
87,0.87,75.11354782722691
88,0.88,75.86845178607021
89,0.89,76.325031016935
90,0.9,77.24644914806974
91,0.91,78.17899090878018
92,0.92,79.12279058678082
93,0.93,80.72117752143166
94,0.9400000000000001,81.20696064049625
95,0.9500000000000001,81.85922211019425
96,0.96,82.68192124538828
97,0.97,85.88429507985344
98,0.98,88.85457065633084
99,0.99,92.29601889382377
100,1.0,98.79045897390218
