Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85156,160.93510,308.89500,455.32049
6660.78906,8030.50342,8192.73040,8192.73040
0.01647,0.01507,0.02321,0.03288
0.33329,0.34473,0.50510,0.70822
0.01633,0.01167,0.01422,0.24051
3.33617,2.93586,5.78345,8.87289
0.01894,0.01730,0.02555,0.04080
57.83250,57.11123,77.24645,92.29602
0.05422,0.01852,0.14471,0.41107
0.02302,0.01639,0.04024,0.10300
