Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6537.70117,7840.06567,8095.00513,8160.02492
184.28320,170.88678,308.27783,434.85017
6721.98438,8078.83129,8192.73040,8192.73040
0.01293,0.01308,0.01699,0.02421
0.22865,0.22924,0.30089,0.48143
0.01280,0.01137,0.01188,0.14044
2.57505,2.32798,4.41497,6.25262
0.01463,0.01436,0.01931,0.02922
75.60826,69.61645,112.73062,158.69771
0.01215,0.00000,0.03663,0.16914
0.01374,0.01212,0.01978,0.04281
