Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.02399,0.02152,0.03641,0.05250
0.47093,0.45612,0.75201,1.10849
0.02363,0.01483,0.01772,0.39337
4.81598,4.34489,8.15801,11.66975
0.02747,0.02475,0.04105,0.06099
40.48574,40.24560,53.78533,67.69423
0.13142,0.08673,0.33187,0.53100
0.04268,0.02774,0.07895,0.21981
