Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
683.05664,436.59305,1644.18807,4670.41082
219.02734,159.97238,512.34672,722.70542
902.08398,650.01904,2016.26493,5255.35248
0.00878,0.00880,0.01014,0.01148
0.05694,0.04741,0.07317,0.20413
0.00914,0.00870,0.01049,0.03084
2.05007,1.48438,4.52221,6.86887
0.01020,0.00933,0.01171,0.02397
102.83502,107.23268,116.16378,122.60908
0.00055,0.00000,0.00000,0.00000
0.00620,0.00757,0.00871,0.01128
