,cdf,Number of Prompt Tokens
0,0.0,4.002823400834266
1,0.01,10.004152608697645
2,0.02,13.999202723426244
3,0.03,22.988648370853415
4,0.04,28.991440241586453
5,0.05,33.01627645128441
6,0.06,37.9777595100358
7,0.07,41.97191674322714
8,0.08,46.01653444375361
9,0.09,50.95795140178327
10,0.1,58.96834998281604
11,0.11,64.0075398344503
12,0.12,70.03540615115575
13,0.13,76.02034057843467
14,0.14,91.0128771517113
15,0.15,93.97238986969887
16,0.16,99.9830863317801
17,0.17,110.05729204763485
18,0.18,115.00792990336663
19,0.19,119.94113678795277
20,0.2,128.12432962288904
21,0.21,129.93068582944278
22,0.22,141.88276977462596
23,0.23,147.96875929938696
24,0.24,153.08620238278175
25,0.25,159.97238261315115
26,0.26,173.9905904132433
27,0.27,182.18109776244162
28,0.28,196.17385074232715
29,0.29,213.7915101156673
30,0.3,216.8056419541916
31,0.31,227.92150871638486
32,0.32,233.92517946082506
33,0.33,251.8922314336864
34,0.34,268.0038547137111
35,0.35000000000000003,275.06333282529255
36,0.36,278.9413032303414
37,0.37,297.97255918715183
38,0.38,310.13305415077633
39,0.39,317.031589289365
40,0.4,326.0339212934337
41,0.41000000000000003,335.2918807625545
42,0.42,340.6996998436576
43,0.43,353.1883399788932
44,0.44,360.32322013044836
45,0.45,366.1347619451631
46,0.46,384.9068990265854
47,0.47000000000000003,396.6290632182264
48,0.48,416.13158083550655
49,0.49,425.3879251504675
50,0.5,436.5930503518891
51,0.51,454.4107568025799
52,0.52,462.6642114256402
53,0.53,472.9556178951206
54,0.54,486.3855209058114
55,0.55,499.19738117659955
56,0.56,510.3014238739115
57,0.5700000000000001,517.4958899596346
58,0.58,521.6524625869748
59,0.59,526.8951587521594
60,0.6,529.0069608796209
61,0.61,536.4651462992648
62,0.62,541.8567124605947
63,0.63,549.4960596360836
64,0.64,569.6383096811354
65,0.65,592.8856980140129
66,0.66,607.2870849498757
67,0.67,620.795452531684
68,0.68,627.0345526448358
69,0.6900000000000001,640.9821787899239
70,0.7000000000000001,661.825327248686
71,0.71,676.5468321464293
72,0.72,697.1507575886887
73,0.73,727.0546861249275
74,0.74,737.3050402040566
75,0.75,768.9313663489661
76,0.76,795.5245642710101
77,0.77,808.3553340121885
78,0.78,853.2066234775198
79,0.79,893.3708364006419
80,0.8,944.826944931938
81,0.81,971.6559617618789
82,0.8200000000000001,1050.479304005118
83,0.8300000000000001,1128.9032249712284
84,0.84,1198.7107257615971
85,0.85,1225.374597773926
86,0.86,1322.133363815166
87,0.87,1376.0906683259368
88,0.88,1412.3382139553664
89,0.89,1514.7443245091526
90,0.9,1644.1880723859645
91,0.91,1802.630018729524
92,0.92,1879.952920082763
93,0.93,1972.391468700666
94,0.9400000000000001,2020.3015006425762
95,0.9500000000000001,2214.987563227932
96,0.96,2300.7767915054797
97,0.97,2438.167714878493
98,0.98,2866.9446324131964
99,0.99,4670.4108177561075
100,1.0,8095.005128641327
