Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.76172,160.93510,308.89500,455.32049
6660.69922,8030.50342,8192.73040,8192.73040
0.01787,0.01679,0.02426,0.03367
0.34034,0.35029,0.50510,0.67638
0.01778,0.01269,0.01534,0.25183
3.60805,3.25763,6.14108,9.16141
0.02039,0.01939,0.02796,0.04171
53.53663,51.26462,73.47909,89.74757
0.05752,0.02230,0.14471,0.41107
0.02492,0.01837,0.04196,0.11406
