Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.02392,0.02143,0.03641,0.05197
0.47001,0.45248,0.76109,1.10186
0.02356,0.01483,0.01765,0.39416
4.80107,4.32754,8.09301,11.66975
0.02738,0.02475,0.04105,0.06063
40.55199,40.32617,53.89301,67.82975
0.13005,0.08742,0.31950,0.52677
0.04230,0.02802,0.08038,0.21981
