Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2274.93750,1738.88953,5458.89883,6884.32554
444.40234,427.09289,824.68520,1001.24730
2719.33984,2268.79033,6020.96245,7413.08878
0.00444,0.00438,0.00496,0.00561
0.07747,0.06260,0.12964,0.16914
0.00445,0.00413,0.00458,0.00830
2.05108,1.96403,3.76972,4.60434
0.00491,0.00464,0.00559,0.00816
210.47149,215.50870,241.53185,255.95492
0.00001,0.00000,0.00000,0.00000
0.00352,0.00388,0.00445,0.00473
