Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.01650,0.01510,0.02335,0.03442
0.33682,0.34542,0.51427,0.69837
0.01636,0.01167,0.01416,0.23907
3.34554,2.94763,5.79503,8.90845
0.01900,0.01730,0.02581,0.04105
57.75340,57.56996,76.78436,92.48080
0.05488,0.02022,0.14414,0.41107
0.02345,0.01666,0.04171,0.11114
