,cdf,"Deadline Miss Rate with 0.03s TBT Deadline, 0.3s TTFT Deadline, 0.0s TTFT Slack, Using Predictions for TTFT: False "
0,0.0,0.0
1,0.01,0.0
2,0.02,0.0
3,0.03,0.0
4,0.04,0.0
5,0.05,0.0
6,0.06,0.0
7,0.07,0.0
8,0.08,0.0
9,0.09,0.0
10,0.1,0.0
11,0.11,0.0
12,0.12,0.0
13,0.13,0.0
14,0.14,0.0
15,0.15,0.0
16,0.16,0.0
17,0.17,0.0
18,0.18,0.0
19,0.19,0.0
20,0.2,0.0
21,0.21,0.0
22,0.22,0.0
23,0.23,0.0
24,0.24,0.0
25,0.25,0.0024713208825902894
26,0.26,0.0035993486671958685
27,0.27,0.00522133453525373
28,0.28,0.005851821997485991
29,0.29,0.0066243556492231
30,0.3,0.007513888804862196
31,0.31,0.007867600814983621
32,0.32,0.008091006800395751
33,0.33,0.00876488326506922
34,0.34,0.009532940556873218
35,0.35000000000000003,0.00984292810699602
36,0.36,0.009941851212208306
37,0.37,0.011120088854624748
38,0.38,0.011231847643044041
39,0.39,0.012118743552489568
40,0.4,0.013154360956436932
41,0.41000000000000003,0.013691200793624706
42,0.42,0.014713322452639456
43,0.43,0.015623143813782043
44,0.44,0.01652300101856939
45,0.45,0.016823107996896916
46,0.46,0.0169582326839976
47,0.47000000000000003,0.017863391254852673
48,0.48,0.01923542174694104
49,0.49,0.019821227749855865
50,0.5,0.020221643246189514
51,0.51,0.020506737348862922
52,0.52,0.02190584519988998
53,0.53,0.02344725728633999
54,0.54,0.02363558772473284
55,0.55,0.024698772482012597
56,0.56,0.02633117416354552
57,0.5700000000000001,0.02858132675667759
58,0.58,0.029866982578078374
59,0.59,0.033674930169957415
60,0.6,0.03428656733728183
61,0.61,0.03483956478133087
62,0.62,0.03827334463327591
63,0.63,0.039676286954963204
64,0.64,0.039994970390930897
65,0.65,0.040477801388591736
66,0.66,0.04255314335389525
67,0.67,0.045184483687239964
68,0.68,0.04759623987913139
69,0.6900000000000001,0.048752368066212935
70,0.7000000000000001,0.05053942799259056
71,0.71,0.05228731482656824
72,0.72,0.05409565165979882
73,0.73,0.055298944081633106
74,0.74,0.05755573756903646
75,0.75,0.05942730720466924
76,0.76,0.06386387480355367
77,0.77,0.06554611040713508
78,0.78,0.0676775071219228
79,0.79,0.07287560204550458
80,0.8,0.08070123994125794
81,0.81,0.0828269878621278
82,0.8200000000000001,0.08586308224486518
83,0.8300000000000001,0.08812479803379679
84,0.84,0.09489338459647714
85,0.85,0.09916191395333707
86,0.86,0.10529374636691571
87,0.87,0.11202858358500128
88,0.88,0.12208946284189441
89,0.89,0.13655863943609645
90,0.9,0.14413554381048863
91,0.91,0.1482283726099074
92,0.92,0.15897614602756968
93,0.93,0.20992582596804063
94,0.9400000000000001,0.2215734808922789
95,0.9500000000000001,0.264741621192242
96,0.96,0.2990929446170268
97,0.97,0.3214218390185988
98,0.98,0.3345393175718159
99,0.99,0.41106628655534155
100,1.0,0.5449829864474937
