Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2234.87500,1657.39434,5458.89883,7079.81074
432.27930,407.89162,826.33622,991.28472
2667.15430,2111.17945,5937.25626,7746.54708
0.00635,0.00601,0.00734,0.01123
0.08207,0.05860,0.15898,0.20009
0.00642,0.00572,0.00638,0.01863
2.84909,2.63531,5.40325,7.79124
0.00682,0.00630,0.00894,0.01231
152.34101,158.69771,175.38810,182.54582
0.00001,0.00000,0.00000,0.00000
0.00537,0.00559,0.00644,0.01099
