Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6564.73496,7871.48874,8095.00513,8160.02492
184.00813,171.91518,313.87707,455.32049
6748.74309,8192.73040,8192.73040,8192.73040
0.05283,0.04964,0.07229,0.10915
0.63655,0.57522,1.02737,1.59520
0.05214,0.02945,0.03498,0.51840
10.17813,9.32781,17.72543,26.97743
0.05735,0.05377,0.07832,0.11614
18.73944,18.59700,24.90331,29.34143
0.55834,0.53848,0.90574,0.98118
0.08044,0.05990,0.14044,0.30575
