Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
683.05664,436.59305,1644.18807,4670.41082
218.89648,159.97238,512.34672,722.70542
901.95312,650.01904,2016.26493,5255.35248
0.00569,0.00546,0.00728,0.00940
0.05227,0.04537,0.06336,0.18287
0.00588,0.00536,0.00795,0.01068
1.33297,1.01106,2.87772,4.50415
0.00697,0.00597,0.00918,0.01765
155.26362,167.50299,183.64439,188.85910
0.00005,0.00000,0.00000,0.00000
0.00340,0.00417,0.00559,0.00814
