Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
183.85156,159.97238,308.27783,454.41076
6659.78906,8030.50342,8192.73040,8192.73040
0.00504,0.00468,0.00648,0.00856
0.15463,0.17119,0.18806,0.31443
0.00506,0.00433,0.00496,0.03203
1.07902,0.93333,1.81303,2.44734
0.00623,0.00575,0.00803,0.01361
171.59084,173.64296,219.42298,238.17396
0.00110,0.00000,0.00000,0.01578
0.00429,0.00388,0.00559,0.01212
