Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.05465,0.05105,0.07785,0.11091
0.66472,0.57637,1.05654,1.84227
0.05361,0.03029,0.03655,0.52048
10.52081,9.65041,18.52276,25.71310
0.05930,0.05508,0.08299,0.11730
18.33323,18.04738,24.90331,30.23501
0.67677,0.74602,0.97726,0.99302
0.08566,0.05872,0.14734,0.36604
