,cdf,Number of Prompt Tokens
0,0.0,12.001124195202623
1,0.01,13.000662984908592
2,0.02,19.985369849237582
3,0.03,21.010042023055906
4,0.04,28.022299698332315
5,0.05,40.976582199748535
6,0.06,48.95986089487216
7,0.07,54.000906295163944
8,0.08,60.03939109153555
9,0.09,64.0075398344503
10,0.1,67.0206580966104
11,0.11,78.02278912874269
12,0.12,85.02973178204074
13,0.13,98.98823767054662
14,0.14,115.93168373917126
15,0.15,130.9743005569187
16,0.16,141.0340216636387
17,0.17,162.87795819884124
18,0.18,168.8483896575149
19,0.19,202.14823596203493
20,0.2,284.0077092390996
21,0.21,387.99850518541456
22,0.22,452.5967436157564
23,0.23,469.1870660022758
24,0.24,541.8567124605947
25,0.25,606.073724140785
26,0.26,643.5512430645687
27,0.27,705.5669657397743
28,0.28,877.4340176934461
29,0.29,888.0266581680738
30,0.3,907.779738413423
31,0.31,937.2984808710172
32,0.32,973.6012189425833
33,0.33,981.4212697973203
34,0.34,1009.2894078789993
35,0.35000000000000003,1027.6211137305045
36,0.36,1048.3804442568558
37,0.37,1095.5390815264377
38,0.38,1128.9032249712284
39,0.39,1191.5399927280762
40,0.4,1235.2169146119252
41,0.41000000000000003,1265.2207362534932
42,0.42,1381.6060562597204
43,0.43,1417.998882487584
44,0.44,1469.9768494880834
45,0.45,1490.7012646977348
46,0.46,1570.2685787845928
47,0.47000000000000003,1640.902981332246
48,0.48,1704.457198423049
49,0.49,1714.7146867252013
50,0.5,1738.8895294420502
51,0.51,1788.2665044543041
52,0.52,1887.4877939760072
53,0.53,1968.4506266053597
54,0.54,1976.3402003697365
55,0.55,2048.784647953762
56,0.56,2132.3971640222126
57,0.5700000000000001,2175.4744587078885
58,0.58,2250.7124128174532
59,0.59,2337.8853090340435
60,0.6,2433.296250912704
61,0.61,2462.6717160011576
62,0.62,2568.3067715495927
63,0.63,2578.600575950786
64,0.64,2630.6917805167145
65,0.65,2716.2353434189927
66,0.66,2855.499755083081
67,0.67,2861.2164713094735
68,0.68,2884.1980143444634
69,0.6900000000000001,2954.256124606456
70,0.7000000000000001,3032.074059240056
71,0.71,3168.463937091667
72,0.72,3219.5671123246084
73,0.73,3232.4711759971888
74,0.74,3291.182493394624
75,0.75,3330.914612489526
76,0.76,3425.498244631828
77,0.77,3494.697922730694
78,0.78,3536.886939701134
79,0.79,3800.9345423218165
80,0.8,3940.261062710372
81,0.81,4068.388566116779
82,0.8200000000000001,4251.394326775754
83,0.8300000000000001,4363.380123493622
84,0.84,4505.266407863774
85,0.85,4596.278857122031
86,0.86,4774.298464386219
87,0.87,4831.935193908916
88,0.88,5110.243564434752
89,0.89,5255.352477057046
90,0.9,5458.898826850627
91,0.91,5761.783760175436
92,0.92,5996.926696116392
93,0.93,6069.323351777913
94,0.9400000000000001,6179.560365595661
95,0.9500000000000001,6431.75309404098
96,0.96,6627.629203300419
97,0.97,6680.862905567588
98,0.98,6748.006716528334
99,0.99,6884.325540607284
100,1.0,7562.843153669875
