Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2274.93750,1738.88953,5458.89883,6884.32554
452.85156,427.94793,868.70340,1001.24730
2727.78906,2268.79033,6020.96245,7413.08878
0.01228,0.01209,0.01405,0.01522
0.12427,0.10177,0.24635,0.29435
0.01230,0.01103,0.01246,0.04429
5.68137,5.28567,10.75102,12.46594
0.01293,0.01261,0.01465,0.01897
78.75367,79.12279,88.85457,93.03735
0.00006,0.00000,0.00000,0.00198
0.01110,0.01128,0.01355,0.01411
