Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2274.93750,1738.88953,5458.89883,6884.32554
444.68359,427.09289,824.68520,1001.24730
2719.62109,2268.79033,6020.96245,7413.08878
0.00537,0.00453,0.00878,0.01012
0.08129,0.06647,0.12964,0.21502
0.00534,0.00421,0.00868,0.01274
2.45219,2.17494,4.29306,8.09301
0.00585,0.00486,0.00940,0.01075
188.27061,204.58863,238.65078,250.88667
0.00011,0.00000,0.00000,0.00000
0.00446,0.00417,0.00814,0.00929
