Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.02405,0.02160,0.03641,0.05250
0.47087,0.45612,0.75352,1.08437
0.02370,0.01486,0.01772,0.39892
4.82756,4.33621,8.20710,11.73998
0.02751,0.02490,0.04088,0.06099
40.39046,40.08494,53.57062,67.28928
0.13123,0.08848,0.32857,0.53312
0.04244,0.02830,0.07942,0.21981
