Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.04920,0.04703,0.06849,0.09081
0.58379,0.52782,0.93707,1.48736
0.04844,0.02910,0.03408,0.47568
9.49011,8.66247,16.29732,23.31275
0.05330,0.05004,0.07450,0.10572
20.22719,19.86582,27.08556,32.75320
0.53222,0.52152,0.92219,0.98511
0.07247,0.05218,0.11824,0.28168
