Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.01633,0.01492,0.02308,0.03268
0.33217,0.34473,0.50007,0.68866
0.01619,0.01155,0.01405,0.23622
3.30914,2.91830,5.72590,8.83747
0.01879,0.01720,0.02540,0.04072
58.32099,58.03236,77.40110,93.41024
0.05323,0.01852,0.14558,0.41107
0.02281,0.01610,0.04221,0.10959
