,cdf,Time Between Tokens
0,0.0,0.0
1,0.01,0.0005525299044503695
2,0.02,0.004090850709998189
3,0.03,0.009744989303453107
4,0.04,0.009862633668771789
5,0.05,0.009941851212208306
6,0.06,0.010021705037940093
7,0.07,0.010082016040345662
8,0.08,0.010122424881781077
9,0.09,0.010162995682338517
10,0.1,0.01020372909115209
11,0.11,0.010244625759957635
12,0.12,0.01034758599505196
13,0.13,0.01043069871834225
14,0.14,0.010493471060285281
15,0.15,0.010514479010355916
16,0.16,0.010535529018384658
17,0.17,0.010577755545285472
18,0.18,0.010598932233063824
19,0.19,0.010620151316613502
20,0.2,0.010641412880810925
21,0.21,0.010684063791504642
22,0.22,0.010705453308604753
23,0.23,0.010748360894102584
24,0.24,0.010769879134130817
25,0.25,0.010813044939111494
26,0.26,0.010834692676727332
27,0.27,0.010878118255165542
28,0.28,0.0108998962696904
29,0.29,0.010921717883843935
30,0.3,0.010965492260357958
31,0.31,0.011009442085099047
32,0.32,0.011031483010194344
33,0.33,0.011053568061265803
34,0.34,0.011075697326653724
35,0.35000000000000003,0.011097870894875253
36,0.36,0.011120088854624748
37,0.37,0.011142351294774148
38,0.38,0.011164658304373295
39,0.39,0.011187009972650321
40,0.4,0.011209406389011986
41,0.41000000000000003,0.011254333824511598
42,0.42,0.011276865023359462
43,0.43,0.011299441329712537
44,0.44,0.01134472962633634
45,0.45,0.011390199438997196
46,0.46,0.011435851495213556
47,0.47000000000000003,0.01145874609280157
48,0.48,0.011504672884830045
49,0.49,0.011527705262977854
50,0.5,0.011550783751992826
51,0.51,0.011597079432065257
52,0.52,0.011643560665779715
53,0.53,0.01169022819683742
54,0.54,0.011737082771920364
55,0.55,0.011760580435127404
56,0.56,0.011807716982826767
57,0.5700000000000001,0.011831356055865461
58,0.58,0.011855042454375702
59,0.59,0.011878776273103181
60,0.6,0.01192638655114139
61,0.61,0.011974187651746066
62,0.62,0.01199815999939721
63,0.63,0.012046248768844926
64,0.64,0.012070365382996768
65,0.65,0.012094530278658418
66,0.66,0.0121430053013434
67,0.67,0.012167315622267012
68,0.68,0.012191674612501781
69,0.6900000000000001,0.01221608236948377
70,0.7000000000000001,0.012265044574409346
71,0.71,0.012289599218201957
72,0.72,0.012338856079540583
73,0.73,0.012388310362971326
74,0.74,0.01246286368631037
75,0.75,0.01253786567438723
76,0.76,0.012613319027283364
77,0.77,0.012663873361506612
78,0.78,0.012714630318108891
79,0.79,0.01279114744735968
80,0.8,0.012868125059607022
81,0.81,0.012945565926055102
82,0.8200000000000001,0.013023472834585331
83,0.8300000000000001,0.013128078516963538
84,0.84,0.01323352440140802
85,0.85,0.013339817236495882
86,0.86,0.013420096764419964
87,0.87,0.013554971024371348
88,0.88,0.013691200793624706
89,0.89,0.013884225690625371
90,0.9,0.01405184013005181
91,0.91,0.014335706226092027
92,0.92,0.0146253067995911
93,0.93,0.014980560270845588
94,0.9400000000000001,0.015560776036449356
95,0.9500000000000001,0.016163464281624563
96,0.96,0.017060287973823713
97,0.97,0.03327324580044266
98,0.98,0.04536558364079609
99,0.99,0.23621780878570242
100,1.0,1.3191658332546543
