Config,TTFT P50,TTFT P75,TTFT P90,TTFT P99,E2E P50,E2E P75,E2E P90,E2E P99
SGLang non-deterministic,29.86,40.90,65.12,211.12,2715.59,6560.09,10440.97,17142.95
SGLang deterministic,77.65,107.04,184.10,415.26,10951.13,27190.69,42949.52,73331.13
LLM-42 @2%,30.07,41.91,67.72,221.92,2775.74,6773.14,10807.75,17756.10
LLM-42 @5%,30.29,42.60,67.98,210.95,2893.14,6999.62,11180.76,18268.35
LLM-42 @10%,31.60,45.80,71.43,220.55,3204.65,7808.90,12410.20,20462.99
LLM-42 @20%,41.42,59.13,84.12,249.71,5088.25,12494.76,20258.67,33328.41
LLM-42 @50%,51.47,67.71,91.02,273.83,8058.64,20066.20,32013.70,52029.33
LLM-42 @100%,56.30,74.91,100.62,271.86,10597.91,26242.19,42044.25,70263.15
