Config,TTFT P50,TTFT P75,TTFT P90,TTFT P99,E2E P50,E2E P75,E2E P90,E2E P99
SGLang non-deterministic,27.17,35.31,51.47,154.33,2050.28,4956.66,8015.81,12967.21
SGLang deterministic,54.00,69.76,108.58,293.95,4540.52,10976.02,17625.94,28610.55
LLM-42 @2%,27.53,35.46,52.30,151.36,2120.64,5106.42,8215.65,13320.19
LLM-42 @5%,27.40,35.87,53.28,151.05,2153.15,5215.93,8418.38,13680.42
LLM-42 @10%,27.87,37.60,55.47,156.44,2258.34,5416.34,8677.86,14137.23
LLM-42 @20%,28.97,40.49,60.42,167.85,2554.89,6128.50,9913.44,16335.03
LLM-42 @50%,39.38,52.73,69.75,206.11,4876.69,11804.13,18683.10,30634.35
LLM-42 @100%,45.53,58.28,76.18,197.00,7785.38,18784.60,29287.58,46687.50
