,cdf,Number of Total Tokens
0,0.0,6.993632892422741
1,0.01,18.0113202620591
2,0.02,24.022732262610404
3,0.03,30.969431716511867
4,0.04,45.0152251403878
5,0.05,54.000906295163944
6,0.06,61.007747867799274
7,0.07,69.0617416948185
8,0.08,73.03953941466173
9,0.09,81.04470897088486
10,0.1,86.05623561054385
11,0.11,96.06269216059265
12,0.12,105.95357795162072
13,0.13,118.03734888197941
14,0.14,123.10050115880195
15,0.15,137.9651534907103
16,0.16,161.90361607426667
17,0.17,167.8383321854717
18,0.18,171.91518000381075
19,0.19,181.09128352475034
20,0.2,193.0600449663177
21,0.21,196.96011789333122
22,0.22,207.0584825310501
23,0.23,216.8056419541916
24,0.24,232.9913473410534
25,0.25,242.9853931404834
26,0.26,253.9154520515322
27,0.27,276.1657899684225
28,0.28,302.7784664687497
29,0.29,326.0339212934337
30,0.3,338.66162131505564
31,0.31,374.2789874217211
32,0.32,407.89162073672736
33,0.33,420.3137741529488
34,0.34,431.38524135926446
35,0.35000000000000003,439.2204839483025
36,0.36,454.4107568025799
37,0.37,470.12637944772524
38,0.38,478.6652766498472
39,0.39,496.21116350579666
40,0.4,509.2818406094288
41,0.41000000000000003,527.9500039148264
42,0.42,536.4651462992648
43,0.43,548.3981654110365
44,0.44,566.2307117039051
45,0.45,577.6693346957586
46,0.46,591.701111204794
47,0.47000000000000003,606.073724140785
48,0.48,625.7817363558352
49,0.49,634.6042974317952
50,0.5,650.0190427513235
51,0.51,671.1560475814197
52,0.52,691.5957991365584
53,0.53,694.3677234097261
54,0.54,712.6580340100571
55,0.55,756.7263608355797
56,0.56,776.659257645896
57,0.5700000000000001,800.3120613813115
58,0.58,809.9736630092099
59,0.59,826.336221897287
60,0.6,841.3449522337122
61,0.61,851.5019149391031
62,0.62,872.1851741149322
63,0.63,880.9507837796264
64,0.64,900.5464697470951
65,0.65,924.2677259149685
66,0.66,944.826944931938
67,0.67,969.7145912089079
68,0.68,993.2692748387065
69,0.6900000000000001,1033.8053767104652
70,0.7000000000000001,1040.0268568204501
71,0.71,1046.2857780345644
72,0.72,1050.479304005118
73,0.73,1063.1609978635497
74,0.74,1093.3501922526584
75,0.75,1106.5494360315151
76,0.76,1137.970675234838
77,0.77,1198.7107257615971
78,0.78,1250.128815017903
79,0.79,1290.7798991606564
80,0.8,1367.858841747247
81,0.81,1432.250012955918
82,0.8200000000000001,1472.9197460836535
83,0.8300000000000001,1514.7443245091526
84,0.84,1539.1751673987685
85,0.85,1557.7565408661287
86,0.86,1595.5949552047311
87,0.87,1697.652984860695
88,0.88,1795.433898092001
89,0.89,1929.4726798052664
90,0.9,2016.264934207726
91,0.91,2102.7515970225495
92,0.92,2179.8297629295234
93,0.93,2268.790333412844
94,0.9400000000000001,2287.0134574607923
95,0.9500000000000001,2457.751292992164
96,0.96,2599.3121231896957
97,0.97,2662.450262258534
98,0.98,2977.984970342114
99,0.99,5255.352477057046
100,1.0,8192.730401697612
