,cdf,Output Throughput
0,0.0,13.450285953883121
1,0.01,31.09355757096096
2,0.02,37.9777595100358
3,0.03,42.309038880111146
4,0.04,49.15609260564148
5,0.05,51.98737065170029
6,0.06,57.340136997579876
7,0.07,63.87965264197386
8,0.08,65.95686028918864
9,0.09,68.51145167279597
10,0.1,71.30745800737382
11,0.11,72.60261411919393
12,0.12,73.62619943676972
13,0.13,74.6642157347595
14,0.14,75.26392530035449
15,0.15,75.71686646781632
16,0.16,76.325031016935
17,0.17,76.63094265837398
18,0.18,76.93808039734769
19,0.19,77.09211058833333
20,0.2,77.71132121951409
21,0.21,78.02278912874269
22,0.22,79.12279058678082
23,0.23,79.75831181879951
24,0.24,80.72117752143166
25,0.25,81.04470897088486
26,0.26,81.69566722086319
27,0.27,82.35185402491493
28,0.28,83.01331137924744
29,0.29,83.34602972874508
30,0.3,83.68008161738547
31,0.31,84.01547239000945
32,0.32,84.5210807009941
33,0.33,84.85984220805071
34,0.34,85.02973178204074
35,0.35000000000000003,85.37053196874214
36,0.36,85.7126980866869
37,0.37,86.40115003692432
38,0.38,86.57412531227352
39,0.39,86.92111544680155
40,0.4,87.26949632195821
41,0.41000000000000003,87.61927351184859
42,0.42,87.61927351184859
43,0.43,88.14656963516714
44,0.44,88.32303924404637
45,0.45,88.67703904662787
46,0.46,88.85457065633084
47,0.47000000000000003,89.03245768467185
48,0.48,89.21070084319973
49,0.49,89.38930084488781
50,0.5,89.38930084488781
51,0.51,89.56825840413686
52,0.52,89.74757423677778
53,0.53,89.92724906007459
54,0.54,90.287678554875
55,0.55,90.46843466809798
56,0.56,90.64955265542152
57,0.5700000000000001,90.83103324131827
58,0.58,91.0128771517113
59,0.59,91.0128771517113
60,0.6,91.19508511397694
61,0.61,91.37765785694788
62,0.62,91.56059611091575
63,0.63,91.7439006076343
64,0.64,91.92757208032228
65,0.65,92.29601889382377
66,0.66,92.48079570842596
67,0.67,92.48079570842596
68,0.68,92.66594244658097
69,0.6900000000000001,92.85145984887643
70,0.7000000000000001,93.03734865738271
71,0.71,93.22360961565575
72,0.72,93.41024346874016
73,0.73,93.78463284698218
74,0.74,93.97238986969887
75,0.75,93.97238986969887
76,0.76,94.16052278235092
77,0.77,94.34903233747076
78,0.78,94.53791928909735
79,0.79,94.72718439277924
80,0.8,94.91682840557759
81,0.81,95.1068520860692
82,0.8200000000000001,95.29725619434961
83,0.8300000000000001,95.29725619434961
84,0.84,95.48804149203602
85,0.85,95.67920874227033
86,0.86,95.67920874227033
87,0.87,95.87075870972232
88,0.88,96.25500986261586
89,0.89,96.25500986261586
90,0.9,96.6408010987473
91,0.91,97.02813859078891
92,0.92,97.2223891184982
93,0.93,97.61205762231134
94,0.9400000000000001,98.00328792216996
95,0.9500000000000001,98.98823767054662
96,0.96,99.78331992552278
97,0.97,100.38381974319665
98,0.98,100.98793339163191
99,0.99,101.19011143646001
100,1.0,104.89932188646694
