Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
683.05664,436.59305,1644.18807,4670.41082
218.92969,159.97238,513.37244,722.70542
901.98633,650.01904,2016.26493,5255.35248
0.01039,0.01047,0.01178,0.01302
0.07689,0.06768,0.09604,0.23340
0.01084,0.01016,0.01193,0.05218
2.43989,1.72116,5.37092,8.15801
0.01240,0.01119,0.01402,0.02713
85.33402,89.38930,96.64080,101.19011
0.00094,0.00000,0.00000,0.00000
0.00780,0.00929,0.01071,0.01269
