Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
183.84766,159.97238,308.27783,454.41076
6659.78516,8030.50342,8192.73040,8192.73040
0.02718,0.02612,0.03327,0.04402
0.32746,0.32791,0.46070,0.68455
0.02705,0.02084,0.02134,0.17119
5.27354,4.71618,8.89065,12.61644
0.02954,0.02813,0.03633,0.04846
34.91544,35.48112,40.89471,46.75872
0.07739,0.03999,0.20372,0.42021
0.03077,0.02550,0.04056,0.09489
