Config,TTFT P50,TTFT P75,TTFT P90,TTFT P99,E2E P50,E2E P75,E2E P90,E2E P99
Non-deterministic,457.32,733.02,1119.67,2153.49,7186.46,10531.56,14265.25,21938.48
Global-deterministic,64733.81,91477.74,113984.96,129338.01,90524.10,120932.54,141631.73,162673.78
LLM-42 @2%,451.12,725.05,1103.43,2146.96,7299.53,10608.45,14319.42,21968.48
LLM-42 @5%,463.87,745.58,1132.45,2364.65,7652.65,11086.92,15190.85,22944.47
LLM-42 @10%,450.54,718.45,1091.42,2206.69,7641.72,11069.80,15143.48,22922.31
LLM-42 @20%,463.94,734.59,1105.67,2370.90,8096.30,11689.40,15902.56,24173.81
LLM-42 @50%,448.73,704.11,1033.52,2966.69,8488.12,12219.31,16809.67,26035.15
LLM-42 @100%,475.30,764.39,1315.80,5828.26,10470.38,16450.69,23068.94,34854.82
