Config,TTFT P50,TTFT P75,TTFT P90,TTFT P99,E2E P50,E2E P75,E2E P90,E2E P99
Non-deterministic,27.76,36.58,56.14,144.23,2369.71,5468.96,8894.50,14501.21
Global-deterministic,60.42,79.71,125.68,284.89,6973.68,17244.91,27555.15,46142.85
LLM-42 @2%,28.18,37.58,56.35,148.75,2434.83,5677.13,9179.65,15001.17
LLM-42 @5%,28.27,38.09,57.27,135.98,2484.01,5829.24,9407.48,15287.10
LLM-42 @10%,28.68,38.77,58.09,140.06,2582.49,6038.75,9730.69,15821.80
LLM-42 @20%,30.72,44.61,64.23,159.19,3138.57,7486.29,12051.30,20007.09
LLM-42 @50%,43.31,57.39,74.19,169.02,6207.41,15227.89,24241.21,39478.41
LLM-42 @100%,48.28,62.16,81.63,171.59,8231.70,20015.66,31559.65,50415.93
