Config,TTFT P50,TTFT P75,TTFT P90,TTFT P99,E2E P50,E2E P75,E2E P90,E2E P99
Non-deterministic,29.88,41.19,64.03,160.37,2835.73,6629.33,10565.48,17220.51
Global-deterministic,76.55,104.96,170.55,365.59,10525.83,26518.87,41777.23,71377.01
LLM-42 @2%,29.88,41.60,66.25,164.53,2921.89,6883.70,10945.71,18113.68
LLM-42 @5%,30.34,42.31,66.24,155.42,3048.38,7191.82,11408.34,18938.37
LLM-42 @10%,31.39,45.21,69.66,160.63,3289.12,7760.93,12461.56,20274.82
LLM-42 @20%,39.67,56.79,80.93,189.05,4843.85,11872.99,18845.93,31411.80
LLM-42 @50%,49.81,68.08,91.20,254.07,8053.97,19885.85,31206.59,51888.23
LLM-42 @100%,56.00,74.48,100.04,233.91,10562.23,26035.05,41172.15,68296.23
