Config,TTFT P50,TTFT P75,TTFT P90,TTFT P99,E2E P50,E2E P75,E2E P90,E2E P99
Non-deterministic,411.49,657.21,995.99,1696.31,5825.40,8262.83,10981.70,16587.40
Global-deterministic,1385.11,4044.11,7514.87,14105.17,22861.97,31471.45,39726.87,53472.33
LLM-42 @2%,408.48,652.83,981.48,1683.47,5853.63,8345.78,11104.18,16772.97
LLM-42 @5%,416.91,666.00,995.23,1722.87,6050.87,8636.67,11502.20,17547.61
LLM-42 @10%,407.29,648.91,959.48,1652.33,6099.20,8661.24,11608.48,17407.91
LLM-42 @20%,415.84,656.80,958.03,1658.95,6346.31,9121.06,12058.34,18159.60
LLM-42 @50%,405.22,633.89,893.44,1605.95,6653.97,9451.46,12436.69,19458.33
LLM-42 @100%,405.41,632.52,868.45,1671.23,7233.19,10463.98,14345.16,23072.26
