Config,TTFT P50,TTFT P75,TTFT P90,TTFT P99,E2E P50,E2E P75,E2E P90,E2E P99
Non-deterministic,411.49,657.21,995.99,1696.31,5825.40,8262.83,10981.70,16587.40
Global-deterministic,1385.11,4044.11,7514.87,14105.17,22861.97,31471.45,39726.87,53472.33
LLM-42 @2%,405.79,648.43,974.91,1698.59,5852.84,8318.36,11028.47,16529.78
LLM-42 @5%,412.63,655.64,984.36,1699.48,5965.14,8467.98,11344.66,17059.57
LLM-42 @10%,405.90,642.64,950.74,1647.35,6033.59,8605.57,11433.35,17297.93
LLM-42 @20%,411.50,652.10,947.76,1664.10,6261.69,8982.80,11942.02,17869.20
LLM-42 @50%,404.94,630.56,884.02,1595.35,6684.37,9558.21,12748.44,20453.41
LLM-42 @100%,408.36,632.84,871.10,1704.16,7697.56,11126.15,15287.39,23993.69
