Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.84375,160.93510,308.89500,455.32049
6660.78125,8030.50342,8192.73040,8192.73040
0.01741,0.01578,0.02485,0.03470
0.35031,0.35029,0.52571,0.83778
0.01730,0.01222,0.01495,0.24341
3.53175,3.07406,6.16569,9.29057
0.02004,0.01830,0.02864,0.04264
54.99654,54.43465,73.77360,90.10728
0.06224,0.02470,0.15898,0.43649
0.02595,0.01751,0.04420,0.13147
