Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.05456,0.05095,0.07661,0.11025
0.65609,0.57868,1.05654,1.84596
0.05358,0.03023,0.03670,0.51944
10.50642,9.65041,18.44882,25.71310
0.05915,0.05497,0.08283,0.11707
18.35585,18.08351,24.90331,30.23501
0.67272,0.73565,0.96948,0.99104
0.08514,0.05848,0.14705,0.36678
