Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.26172,159.01542,308.89500,455.32049
6660.19922,8030.50342,8192.73040,8192.73040
0.01881,0.01727,0.02607,0.03737
0.34355,0.35169,0.52361,0.72979
0.01868,0.01321,0.01588,0.30029
3.76730,3.40417,6.59954,9.63113
0.02137,0.01951,0.02922,0.04298
50.38977,51.16219,64.52165,73.33228
0.06003,0.02421,0.15459,0.41107
0.02582,0.01867,0.04307,0.11069
