dataset,bar_key,detinfer_config,total_throughput
ArXiv,non_det,ws_32_bs_16,32873.90188136864
ArXiv,global_det,ws_32_bs_16,13355.689109914827
in=1024 out=256,non_det,ws_32_bs_16,31932.075001819143
in=1024 out=256,global_det,ws_32_bs_16,12987.581955128418
in=1024 out=512,non_det,ws_32_bs_16,27528.890189542904
in=1024 out=512,global_det,ws_32_bs_16,11953.101841516002
in=2048 out=256,non_det,ws_32_bs_16,33771.33807660256
in=2048 out=256,global_det,ws_32_bs_16,13469.912241358472
in=2048 out=512,non_det,ws_32_bs_16,29093.0522439179
in=2048 out=512,global_det,ws_32_bs_16,12508.46477596653
in=4096 out=512,non_det,ws_32_bs_16,29971.30055443493
in=4096 out=512,global_det,ws_32_bs_16,12890.796098782788
in=512 out=256,non_det,ws_32_bs_16,25712.444954881885
in=512 out=256,global_det,ws_32_bs_16,12495.83396183667
ShareGPT,non_det,ws_32_bs_16,25321.986665940127
ShareGPT,global_det,ws_32_bs_16,10714.896036905899
ArXiv,non_det,ws_64_bs_8,32873.90188136864
ArXiv,global_det,ws_64_bs_8,13355.689109914827
ArXiv,detinfer_0.02,ws_64_bs_8,15819.26607178503
ArXiv,detinfer_0.05,ws_64_bs_8,15732.340639257862
ArXiv,detinfer_0.1,ws_64_bs_8,15473.712703208115
ArXiv,detinfer_0.2,ws_64_bs_8,15118.443619773863
ArXiv,detinfer_0.5,ws_64_bs_8,14590.256765793754
ArXiv,detinfer_1.0,ws_64_bs_8,14237.78586305766
in=1024 out=256,non_det,ws_64_bs_8,31932.075001819143
in=1024 out=256,global_det,ws_64_bs_8,12987.581955128418
in=1024 out=256,detinfer_0.02,ws_64_bs_8,14962.232081695754
in=1024 out=256,detinfer_0.05,ws_64_bs_8,14308.120605027256
in=1024 out=256,detinfer_0.1,ws_64_bs_8,13691.8931786246
in=1024 out=256,detinfer_0.2,ws_64_bs_8,12944.526865321339
in=1024 out=256,detinfer_0.5,ws_64_bs_8,11084.399061381866
in=1024 out=256,detinfer_1.0,ws_64_bs_8,8940.908776560775
in=1024 out=512,non_det,ws_64_bs_8,27528.890189542904
in=1024 out=512,global_det,ws_64_bs_8,11953.101841516002
in=1024 out=512,detinfer_0.02,ws_64_bs_8,13542.379393293164
in=1024 out=512,detinfer_0.05,ws_64_bs_8,12836.006809269747
in=1024 out=512,detinfer_0.1,ws_64_bs_8,12208.209281828238
in=1024 out=512,detinfer_0.2,ws_64_bs_8,11475.997821172716
in=1024 out=512,detinfer_0.5,ws_64_bs_8,9734.537479941899
in=1024 out=512,detinfer_1.0,ws_64_bs_8,7800.799057963355
in=2048 out=256,non_det,ws_64_bs_8,33771.33807660256
in=2048 out=256,global_det,ws_64_bs_8,13469.912241358472
in=2048 out=256,detinfer_0.02,ws_64_bs_8,15741.027192624453
in=2048 out=256,detinfer_0.05,ws_64_bs_8,15302.23534851048
in=2048 out=256,detinfer_0.1,ws_64_bs_8,14847.080871388982
in=2048 out=256,detinfer_0.2,ws_64_bs_8,14356.52160984206
in=2048 out=256,detinfer_0.5,ws_64_bs_8,13081.755270977092
in=2048 out=256,detinfer_1.0,ws_64_bs_8,11409.116541571975
in=2048 out=512,non_det,ws_64_bs_8,29093.0522439179
in=2048 out=512,global_det,ws_64_bs_8,12508.46477596653
in=2048 out=512,detinfer_0.02,ws_64_bs_8,14406.2809853585
in=2048 out=512,detinfer_0.05,ws_64_bs_8,13817.274539655718
in=2048 out=512,detinfer_0.1,ws_64_bs_8,13372.341934601953
in=2048 out=512,detinfer_0.2,ws_64_bs_8,12763.37442897917
in=2048 out=512,detinfer_0.5,ws_64_bs_8,11451.849472762158
in=2048 out=512,detinfer_1.0,ws_64_bs_8,9822.055677392651
in=4096 out=512,non_det,ws_64_bs_8,29971.30055443493
in=4096 out=512,global_det,ws_64_bs_8,12890.796098782788
in=4096 out=512,detinfer_0.02,ws_64_bs_8,15066.478144453045
in=4096 out=512,detinfer_0.05,ws_64_bs_8,14600.732838387408
in=4096 out=512,detinfer_0.1,ws_64_bs_8,14124.968157653293
in=4096 out=512,detinfer_0.2,ws_64_bs_8,13706.13597585345
in=4096 out=512,detinfer_0.5,ws_64_bs_8,12926.976405306776
in=4096 out=512,detinfer_1.0,ws_64_bs_8,11710.99775304871
in=512 out=256,non_det,ws_64_bs_8,25712.444954881885
in=512 out=256,global_det,ws_64_bs_8,12495.83396183667
in=512 out=256,detinfer_0.02,ws_64_bs_8,14007.438722345218
in=512 out=256,detinfer_0.05,ws_64_bs_8,13185.469915487092
in=512 out=256,detinfer_0.1,ws_64_bs_8,12336.242927425477
in=512 out=256,detinfer_0.2,ws_64_bs_8,11316.878414680912
in=512 out=256,detinfer_0.5,ws_64_bs_8,8971.480369901059
in=512 out=256,detinfer_1.0,ws_64_bs_8,6712.857644433121
ShareGPT,non_det,ws_64_bs_8,25321.986665940127
ShareGPT,global_det,ws_64_bs_8,10714.896036905899
ShareGPT,detinfer_0.02,ws_64_bs_8,12502.590466487858
ShareGPT,detinfer_0.05,ws_64_bs_8,11785.090533933751
ShareGPT,detinfer_0.1,ws_64_bs_8,11062.107636003057
ShareGPT,detinfer_0.2,ws_64_bs_8,9999.209946759183
ShareGPT,detinfer_0.5,ws_64_bs_8,8053.997623272292
ShareGPT,detinfer_1.0,ws_64_bs_8,6140.07604833799
