,cdf,End to End Latency
0,0.0,0.07449663177686719
1,0.01,0.17187271812714278
2,0.02,0.2579470489719662
3,0.03,0.3214218390185988
4,0.04,0.358079287967504
5,0.05,0.5071234944098811
6,0.06,0.6059240280655137
7,0.07,0.6563896811006248
8,0.08,0.7096377756057084
9,0.09,0.7889908311915514
10,0.1,0.8895847136768781
11,0.11,1.0294240897138103
12,0.12,1.1491235786841678
13,0.13,1.2275245350813824
14,0.14,1.2776207787331588
15,0.15,1.4318962569734235
16,0.16,1.5856583021138762
17,0.17,1.640497689489978
18,0.18,1.7108660067246204
19,0.19,1.8202970456497094
20,0.2,1.940604885254775
21,0.21,2.0238461486028263
22,0.22,2.110658003768114
23,0.23,2.1836543055140853
24,0.24,2.2727709585942875
25,0.25,2.337307867311597
26,0.26,2.4620634528874743
27,0.27,2.511800450612049
28,0.28,2.5882961886026497
29,0.29,2.6831724085631996
30,0.3,2.7759689025580943
31,0.31,2.8777244270465556
32,0.32,2.9008385634379037
33,0.33,2.9594394093502467
34,0.34,3.0373938766663113
35,0.35000000000000003,3.098753323822401
36,0.36,3.277234398920775
37,0.37,3.3501325191171283
38,0.38,3.404165770742258
39,0.39,3.5430924585667385
40,0.4,3.6074455848832288
41,0.41000000000000003,3.6583050254066505
42,0.42,3.695071614473752
43,0.43,3.7924033383437985
44,0.44,3.8767607692564843
45,0.45,3.9709285524950624
46,0.46,4.075526612209306
47,0.47000000000000003,4.100053286500994
48,0.48,4.1412595208885286
49,0.49,4.241852065053311
50,0.5,4.327543189812955
51,0.51,4.397340795955234
52,0.52,4.468264146107338
53,0.53,4.531259805843462
54,0.54,4.632052206312607
55,0.55,4.678605120523999
56,0.56,4.716184089469276
57,0.5700000000000001,4.792249964524238
58,0.58,4.850103409814849
59,0.59,4.908655278843117
60,0.6,4.948082030948682
61,0.61,5.017842385702915
62,0.62,5.078419248781258
63,0.63,5.2226244878738655
64,0.64,5.381677136483093
65,0.65,5.534493593763969
66,0.66,5.590116197741286
67,0.67,5.646297818369505
68,0.68,5.691649380406982
69,0.6900000000000001,5.806628363564537
70,0.7000000000000001,5.9476732599696325
71,0.71,6.0678242703145076
72,0.72,6.141076822258666
73,0.73,6.29024558078405
74,0.74,6.3789283795861165
75,0.75,6.560062478027002
76,0.76,6.746340004903766
77,0.77,6.868873660343622
78,0.78,6.951796715163086
79,0.79,7.092232371684557
80,0.8,7.337514522242242
81,0.81,7.485742197962293
82,0.8200000000000001,7.515745142640555
83,0.8300000000000001,7.591279662390397
84,0.84,7.806839316902294
85,0.85,7.948634802785942
86,0.86,8.190706853178607
87,0.87,8.389661793508544
88,0.88,8.542043073834684
89,0.89,8.697192052688527
90,0.9,8.926284417773203
91,0.91,9.143106777007915
92,0.92,9.346484142086805
93,0.93,9.708485118963374
94,0.9400000000000001,10.024180942248588
95,0.9500000000000001,10.267671566070339
96,0.96,10.454163105028046
97,0.97,10.644041886544015
98,0.98,10.902589134830023
99,0.99,11.30223290413684
100,1.0,12.566070240192689
