Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2234.87500,1657.39434,5458.89883,7079.81074
432.22852,403.83303,836.31199,991.28472
2667.10352,2111.17945,5984.94482,7746.54708
0.01048,0.01079,0.01178,0.01289
0.09396,0.07143,0.18214,0.24003
0.01055,0.01024,0.01110,0.03533
4.64474,4.32754,8.92628,11.30223
0.01099,0.01110,0.01239,0.01588
93.71382,89.92725,109.61794,166.83432
0.00002,0.00000,0.00000,0.00000
0.00930,0.01012,0.01099,0.01155
