Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2274.93750,1738.88953,5458.89883,6884.32554
452.85156,427.94793,868.70340,1001.24730
2727.78906,2268.79033,6020.96245,7413.08878
0.01221,0.01207,0.01388,0.01519
0.12554,0.10036,0.24488,0.29376
0.01225,0.01101,0.01227,0.04482
5.66054,5.29626,10.72954,12.49090
0.01287,0.01254,0.01445,0.01867
79.08271,79.59895,88.85457,93.41024
0.00006,0.00000,0.00000,0.00198
0.01099,0.01128,0.01241,0.01411
