Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.02412,0.02160,0.03663,0.05281
0.47505,0.45886,0.75805,1.12862
0.02374,0.01486,0.01776,0.39574
4.83965,4.33621,8.22354,11.73998
0.02763,0.02485,0.04088,0.06136
40.27407,40.24560,53.46359,67.28928
0.13249,0.08848,0.32595,0.53956
0.04320,0.02802,0.08054,0.22605
